question,answer
"Что такое транзистор?","Транзистор — это полупроводниковый прибор, используемый для усиления или переключения электронных сигналов. Основные типы: биполярные (BJT) и полевые (MOSFET, JFET) транзисторы. Применяется в усилителях, ключевых схемах, логических элементах."
"Что такое конденсатор?","Конденсатор — это пассивный электронный компонент, который накапливает электрический заряд и энергию в электрическом поле. Измеряется в фарадах. Используется для фильтрации, сглаживания пульсаций, создания временных задержек, в колебательных контурах."
"Что такое резистор?","Резистор — это пассивный компонент, ограничивающий ток в электрической цепи. Его сопротивление измеряется в омах по закону Ома: U = I × R. Используется для задания рабочих режимов, делителей напряжения, ограничения тока."
"Что такое операционный усилитель (op-amp)?","Операционный усилитель (op-amp) — это интегральная схема с высоким коэффициентом усиления, используемая для выполнения математических операций над аналоговыми сигналами: сложения, вычитания, интегрирования, дифференцирования. Имеет два входа (инвертирующий и неинвертирующий) и один выход."
"Что такое микроконтроллер?","Микроконтроллер — это небольшой компьютер на одной микросхеме, содержащий процессор, оперативную и постоянную память, таймеры, аналого-цифровые преобразователи и периферийные интерфейсы. Предназначен для управления электронными системами и устройствами."
"Что такое индуктор (катушка индуктивности)?","Индуктор (катушка индуктивности) — это пассивный компонент, состоящий из обмотки провода, который накапливает энергию в магнитном поле при протекании тока. Измеряется в генри (H). Основное свойство — противодействие изменению тока. Используется в фильтрах, трансформаторах, дросселях."
"Что такое диод?","Диод — это полупроводниковый прибор, проводящий электрический ток преимущественно в одном направлении. Основная функция — выпрямление переменного тока. Разновидности: светодиоды, стабилитроны, диоды Шоттки, варикапы."
"Что такое тиристор?","Тиристор — это полупроводниковый ключевой прибор с тремя и более p-n переходами, используемый для управления мощной нагрузкой. Может находиться в двух состояниях: открытом (проводит ток) и закрытом (не проводит). Применяется в регуляторах мощности, инверторах, пускателях."
"Что такое трансформатор?","Трансформатор — это устройство для изменения величины переменного напряжения и тока за счет электромагнитной индукции. Состоит из двух или более обмоток на общем магнитопроводе. Используется для гальванической развязки, преобразования напряжения, согласования сопротивлений."
"Что такое АЦП (аналого-цифровой преобразователь)?","Аналого-цифровой преобразователь (АЦП) — это устройство, преобразующее входной аналоговый сигнал (непрерывный) в дискретный цифровой код для обработки в цифровых системах. Основные параметры: разрядность (8, 10, 12, 16 бит), частота дискретизации, время преобразования."
"Что такое ЦАП (цифро-аналоговый преобразователь)?","Цифро-аналоговый преобразователь (ЦАП) — это устройство, преобразующее входной цифровой код в выходной аналоговый сигнал (например, напряжение или ток). Применяется в аудиотехнике, системах управления, измерительных приборах."
"Что такое шунт?","Шунт — это резистор с очень малым сопротивлением (обычно миллиомы), подключаемый в цепь последовательно для измерения силы тока. Падение напряжения на нём пропорционально току по закону Ома. Используется в амперметрах и измерительных схемах."
"Что такое реле?","Реле — это электромеханический или полупроводниковый переключатель, управляемый электрическим сигналом. Используется для замыкания или размыкания силовой цепи с помощью слаботочной управляющей цепи. Применяется в системах автоматики, защиты, управления."
"Что такое кварцевый резонатор?","Кварцевый резонатор — это компонент, использующий пьезоэлектрический эффект кварца для создания стабильных колебаний с фиксированной частотой. Является основой для задающих генераторов в микроконтроллерах, часах, измерительных приборах."
"Что такое фотодиод?","Фотодиод — это полупроводниковый диод, преобразующий световое излучение в электрический ток. Работает в фотогальваническом (без внешнего питания) или фотодиодном (с обратным смещением) режиме. Часто используется в датчиках света, оптоволоконной связи."
"Что такое терморезистор (термистор)?","Терморезистор (термистор) — это резистор, сопротивление которого значительно изменяется в зависимости от температуры. Виды: NTC (отрицательный ТКС) — сопротивление уменьшается при нагреве, PTC (положительный ТКС) — сопротивление увеличивается при нагреве."
"Что такое варистор?","Варистор — это полупроводниковый резистор, сопротивление которого нелинейно зависит от приложенного напряжения. Используется для защиты цепей от импульсных перенапряжений: при скачке напряжения его сопротивление резко падает, шунтируя избыточную энергию."
"Что такое оптопара (оптоизолятор)?","Оптопара (оптоизолятор) — это электронный компонент, состоящий из излучателя света (обычно светодиода) и фотоприёмника (фотодиода, фототранзистора), помещённых в общий корпус. Обеспечивает гальваническую развязку входной и выходной цепей для защиты от помех."
"Что такое пьезоэлектрический излучатель (пьезоизлучатель)?","Пьезоэлектрический излучатель (пьезоизлучатель) — это электроакустическое устройство, преобразующее приложенное переменное электрическое напряжение в механические колебания (звук) за счёт пьезоэлектрического эффекта. Используется для генерации звуковых сигналов, будильников."
"Что такое генератор тактовых импульсов?","Генератор тактовых импульсов (тактовый генератор) — это электронная схема, вырабатывающая периодические синхроимпульсы для координации работы цифровых устройств. Может быть на основе кварцевого резонатора (высокая стабильность) или RC-цепи (низкая стоимость)."
"Что такое микросхема стабилизатора напряжения?","Микросхема стабилизатора напряжения — это интегральная схема, предназначенная для поддержания постоянного выходного напряжения при изменении входного напряжения или тока нагрузки. Примеры: линейные стабилизаторы серий 78xx, L78xx, импульсные стабилизаторы (Buck, Boost)."
"Что такое ЖК-дисплей (LCD)?","Жидкокристаллический дисплей (ЖК-дисплей, LCD) — это плоский дисплей, использующий модуляцию света жидкими кристаллами для отображения информации. Требует внешней подсветки. Основные типы: монохромные и цветные, с пассивной или активной (TFT) матрицей."
"Что такое семисегментный индикатор?","Семисегментный индикатор — это устройство отображения цифровой информации, состоящее из семи светодиодных или жидкокристаллических сегментов, комбинацией которых можно отобразить арабские цифры и некоторые буквы. Применяется в часах, измерительных приборах, табло."
"Что такое электролитический конденсатор?","Электролитический конденсатор — это полярный конденсатор, в котором в качестве диэлектрика используется тонкий слой оксида металла, а в качестве обкладок — электролит и металлическая фольга. Обладает большой ёмкостью при небольших размерах, используется в цепях фильтрации и развязки по питанию."
"Что такое тактовая кнопка?","Кнопка (тактовый переключатель) — это простейший электромеханический компонент, замыкающий или размыкающий электрическую цепь при нажатии. Имеет два основных состояния: нормально разомкнутая (NO, контакты замыкаются при нажатии) и нормально замкнутая (NC, контакты размыкаются при нажатии)."
"Что такое датчик Холла?","Датчик Холла — это полупроводниковое устройство, выходное напряжение которого пропорционально силе и направлению воздействующего на него магнитного поля. Применяется для бесконтактного определения положения, скорости вращения (например, в энкодерах) и измерения тока."
"Что такое геркон?","Геркон (герметизированный контакт) — это электромеханический компонент, представляющий собой пару ферромагнитных контактов в герметичной стеклянной колбе. Контакты замыкаются или размыкаются под воздействием внешнего магнитного поля. Используется в датчиках положения, реле и охранных системах."
"Что такое дроссель?","Дроссель — это катушка индуктивности, основное назначение которой — подавление переменной составляющей тока (высокочастотных помех) в цепи при беспрепятственном прохождении постоянного тока. Ключевой параметр — индуктивность насыщения. Используется в фильтрах и источниках питания."
