question,answer
"Что такое транзистор?","Транзистор - это полупроводниковый прибор, используемый для усиления или переключения электронных сигналов. Основные типы: биполярные и полевые транзисторы."
"Что такое конденсатор?","Конденсатор - это пассивный электронный компонент, который накапливает электрический заряд. Измеряется в фарадах и используется для фильтрации, накопления энергии."
"Что такое резистор?","Резистор ограничивает ток в цепи. Его сопротивление измеряется в омах по закону Ома: U = I * R."
"Что такое операционный усилитель (op-amp)?","Операционный усилитель (op-amp) - это интегральная схема с высоким коэффициентом усиления, используемая для выполнения математических операций над аналоговыми сигналами."
"Что такое микроконтроллер?","Микроконтроллер - это небольшой компьютер на одной микросхеме, содержащий процессор, память и периферийные устройства для управления электронными системами."
"Что такое индуктор (катушка индуктивности)?","Индуктор (катушка индуктивности) — это пассивный компонент, состоящий из обмотки провода, который накапливает энергию в магнитном поле при протекании тока. Измеряется в генри (H). Основное свойство — противодействие изменению тока."
"Что такое диод?","Диод — это полупроводниковый прибор, проводящий электрический ток преимущественно в одном направлении. Основная функция — выпрямление переменного тока. Разновидности: светодиоды, стабилитроны, диоды Шоттки."
"Что такое тиристор?","Тиристор — это полупроводниковый ключевой прибор с тремя и более p-n переходами, используемый для управления мощной нагрузкой. Может находиться в двух состояниях: открытом (проводит ток) и закрытом."
"Что такое трансформатор?","Трансформатор — это устройство для изменения величины переменного напряжения и тока за счет электромагнитной индукции. Состоит из двух или более обмоток на общем сердечнике."
"Что такое АЦП (аналого-цифровой преобразователь)?","Аналого-цифровой преобразователь (АЦП) — это устройство, преобразующее входной аналоговый сигнал (непрерывный) в дискретный цифровой код для обработки в цифровых системах. Основной параметр — разрядность."
"Что такое ЦАП (цифро-аналоговый преобразователь)?","Цифро-аналоговый преобразователь (ЦАП) — это устройство, преобразующее входной цифровой код в выходной аналоговый сигнал (например, напряжение или ток)."
"Что такое шунт?","Шунт — это резистор с очень малым сопротивлением, подключаемый в цепь последовательно для измерения силы тока. Падение напряжения на нём пропорционально току."
"Что такое реле?","Реле — это электромеханический или полупроводниковый переключатель, управляемый электрическим сигналом. Используется для замыкания или размыкания силовой цепи с помощью слаботочной управляющей цепи."
"Что такое кварцевый резонатор?","Кварцевый резонатор — это компонент, использующий пьезоэлектрический эффект для создания стабильных колебаний с фиксированной частотой. Является основой для задающих генераторов в микроконтроллерах и часах."
"Что такое фотодиод?","Фотодиод — это полупроводниковый диод, преобразующий световое излучение в электрический ток. Работает в фотогальваническом или фотодиодном режиме, часто используется в датчиках света."
"Что такое терморезистор (термистор)?","Терморезистор (термистор) — это резистор, сопротивление которого значительно изменяется в зависимости от температуры. Виды: NTC (отрицательный ТКС) — сопротивление уменьшается при нагреве, PTC (положительный ТКС) — сопротивление увеличивается при нагреве."
"Что такое варистор?","Варистор — это полупроводниковый резистор, сопротивление которого нелинейно зависит от приложенного напряжения. Используется для защиты цепей от импульсных перенапряжений: при скачке напряжения его сопротивление резко падает, шунтируя избыточную энергию."
"Что такое оптопара (оптоизолятор)?","Оптопара (оптоизолятор) — это электронный компонент, состоящий из излучателя света (обычно светодиода) и фотоприёмника (фотодиода, фототранзистора), помещённых в общий корпус. Обеспечивает гальваническую развязку входной и выходной цепей."
"Что такое пьезоэлектрический излучатель (пьезоизлучатель)?","Пьезоэлектрический излучатель (пьезоизлучатель) — это электроакустическое устройство, преобразующее приложенное переменное электрическое напряжение в механические колебания (звук) за счёт пьезоэлектрического эффекта. Используется для генерации звуковых сигналов."
"Что такое генератор тактовых импульсов?","Генератор тактовых импульсов (тактовый генератор) — это электронная схема, вырабатывающая периодические синхроимпульсы для координации работы цифровых устройств. Может быть на основе кварцевого резонатора или RC-цепи."
"Что такое микросхема стабилизатора напряжения?","Микросхема стабилизатора напряжения — это интегральная схема, предназначенная для поддержания постоянного выходного напряжения при изменении входного напряжения или тока нагрузки. Примеры: линейные стабилизаторы серий 78xx, L78xx, импульсные стабилизаторы."
"Что такое ЖК-дисплей (LCD)?","Жидкокристаллический дисплей (ЖК-дисплей, LCD) — это плоский дисплей, использующий модуляцию света жидкими кристаллами для отображения информации. Требует внешней подсветки. Основные типы: монохромные и цветные, с пассивной или активной (TFT) матрицей."
"Что такое семисегментный индикатор?","Семисегментный индикатор — это устройство отображения цифровой информации, состоящее из семи светодиодных или жидкокристаллических сегментов, комбинацией которых можно отобразить арабские цифры и некоторые буквы."
"Что такое электролитический конденсатор?","Электролитический конденсатор — это полярный конденсатор, в котором в качестве диэлектрика используется тонкий слой оксида металла, а в качестве обкладок — электролит и металлическая фольга. Обладает большой ёмкостью при небольших размерах, используется в цепях фильтрации и развязки по питанию."
"Что такое тактовая кнопка?","Кнопка (тактовый переключатель) — это простейший электромеханический компонент, замыкающий или размыкающий электрическую цепь при нажатии. Имеет два основных состояния: нормально разомкнутая (NO) и нормально замкнутая (NC)."
"Что такое датчик Холла?","Датчик Холла — это полупроводниковое устройство, выходное напряжение которого пропорционально силе и направлению воздействующего на него магнитного поля. Применяется для бесконтактного определения положения, скорости вращения (например, в энкодерах) и измерения тока."
"Что такое геркон?","Геркон (герметизированный контакт) — это электромеханический компонент, представляющий собой пару ферромагнитных контактов в герметичной стеклянной колбе. Контакты замыкаются или размыкаются под воздействием внешнего магнитного поля. Используется в датчиках положения, реле и охранных системах."
"Что такое дроссель?","Дроссель — это катушка индуктивности, основное назначение которой — подавление переменной составляющей тока (высокочастотных помех) в цепи при беспрепятственном прохождении постоянного тока. Ключевой параметр — индуктивность насыщения."
"Что такое супрессор (TVS-диод)?","Супрессор (TVS-диод) — это полупроводниковый прибор для защиты электронных цепей от кратковременных высоковольтных импульсных помех. Работает по принципу лавинного пробоя p-n перехода, шунтируя опасный импульс на землю. Бывает однонаправленным и двунаправленным."
"Что такое датчик температуры?","Датчик температуры (например, LM35, DS18B20) — это электронный компонент, преобразующий температуру в электрический сигнал (напряжение, сопротивление или цифровой код). Типы: аналоговые (термопары, терморезисторы) и цифровые с интерфейсом (1-Wire, I²C)."
"Что такое фоторезистор?","Фоторезистор — это пассивный компонент, сопротивление которого уменьшается при увеличении интенсивности падающего на него света. Изготавливается из полупроводниковых материалов (например, сульфида кадмия). Применяется в датчиках освещённости и автоматических выключателях света."
"Что такое предохранитель?","Предохранитель — это защитный элемент, разрывающий электрическую цепь путём разрушения (плавления) токопроводящей части при превышении заданного значения тока в течение определённого времени. Основной параметр — номинальный ток срабатывания."
"Что такое ключ на полевом транзисторе (MOSFET как ключ)?","Ключ (переключатель) на полевом транзисторе (MOSFET как ключ) — это схема применения полевого транзистора, работающего в режиме переключения (отсечка/насыщение) для управления мощной нагрузкой с помощью слабого управляющего сигнала. Важные параметры — сопротивление канала в открытом состоянии (Rds(on)) и заряд затвора."
"Что такое резисторная сборка (DIP-сборка)?","Резисторная сборка (DIP-сборка) — это интегральный компонент, содержащий несколько резисторов (обычно с одинаковым или разным номиналом) в одном корпусе, часто с одним общим выводом. Используется для экономии места на печатной плате."
"Что такое светодиод (LED)?","Светодиод (LED) — это полупроводниковый прибор, излучающий свет (некогерентное излучение) при прохождении через него электрического тока в прямом направлении. Характеризуется цветом свечения, световым потоком и рабочим током."
"Что такое ШИМ-контроллер (PWM-контроллер)?","ШИМ-контроллер (PWM-контроллер) — это интегральная схема, предназначенная для генерации сигнала с широтно-импульсной модуляцией (ШИМ), используемой для точного управления мощностью (например, скоростью двигателя, яркостью светодиода) или в импульсных источниках питания."
"Что такое драйвер двигателя?","Драйвер двигателя (например, L298N, DRV8833) — это специализированная микросхема или модуль, предназначенный для управления направлением вращения, скоростью и мощностью электродвигателей (постоянного тока, шаговых) путем усиления управляющих сигналов от микроконтроллера."
"Что такое датчик тока на основе эффекта Холла?","Датчик тока на основе эффекта Холла — это интегральное устройство, которое измеряет протекающий ток, детектируя магнитное поле, создаваемое этим током вокруг проводника. Обеспечивает гальваническую развязку и измерение больших токов (например, ACS712)."
"Что такое буферный повторитель на операционном усилителе?","Сепаратор сигналов (буферный повторитель, например, на основе ОУ) — это схема (часто на операционном усилителе в режиме повторителя), которая имеет высокое входное и низкое выходное сопротивление. Используется для согласования импедансов, изоляции источника сигнала от нагрузки без усиления по напряжению."
"Что такое EEPROM?","EEPROM (электрически стираемое программируемое ПЗУ) — это тип энергонезависимой памяти, позволяющей хранить данные после отключения питания. Отдельные микросхемы (например, 24Cxx) или встроенные в микроконтроллеры ячейки памяти позволяют записывать и считывать данные по интерфейсам I²C или SPI."
"Что такое регистр сдвига?","Регистр сдвига (shift register, например, 74HC595) — это последовательная цифровая интегральная схема, используемая для преобразования последовательных данных в параллельные (или наоборот). Широко применяется для увеличения количества выходов управления (например, для светодиодных матриц, семисегментных индикаторов)."
"Что такое опорный источник напряжения?","Опорный источник напряжения (ИОН, voltage reference, например, TL431) — это электронный компонент, формирующий стабильное и точное напряжение, не зависящее от изменений питающего напряжения, температуры или нагрузки. Используется в аналого-цифровых преобразователях, измерительных и регулирующих устройствах."
